Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0020"
"0.0200","0.0000","-0.0019"
"0.0400","0.0000","-0.0015"
"0.0600","0.0002","0.0033"
"0.0800","0.0010","-0.0002"
"0.1000","0.0015","-0.0026"
"0.1200","0.0016","-0.0051"
"0.1400","0.0016","-0.0065"
"0.1600","0.0016","-0.0056"
"0.1800","0.0016","-0.0049"
"0.2000","0.0016","-0.0038"
"0.2200","0.0017","-0.0019"
"0.2400","0.0017","-0.0016"
"0.2600","0.0018","-0.0013"
"0.2800","0.0020","-0.0017"
"0.3000","0.0021","-0.0021"
"0.3200","0.0024","-0.0026"
"0.3400","0.0026","-0.0036"
"0.3600","0.0028","-0.0032"
"0.3800","0.0031","-0.0028"
"0.4000","0.0034","-0.0032"
"0.4200","0.0037","-0.0030"
"0.4400","0.0041","-0.0030"
"0.4600","0.0044","-0.0031"
"0.4800","0.0048","-0.0022"
"0.5000","0.0052","-0.0034"
"0.5200","0.0056","-0.0026"
"0.5400","0.0060","-0.0024"
"0.5600","0.0065","-0.0034"
"0.5800","0.0069","-0.0029"
"0.6000","0.0074","-0.0025"
"0.6200","0.0078","-0.0034"
"0.6400","0.0083","-0.0023"
"0.6600","0.0088","-0.0028"
"0.6800","0.0092","-0.0032"
"0.7000","0.0096","-0.0028"
"0.7200","0.0101","-0.0033"
"0.7400","0.0105","-0.0030"
"0.7600","0.0109","-0.0026"
"0.7800","0.0114","-0.0030"
"0.8000","0.0118","-0.0027"
"0.8200","0.0122","-0.0024"
"0.8400","0.0126","-0.0032"
"0.8600","0.0130","-0.0029"
"0.8800","0.0134","-0.0022"
"0.9000","0.0138","-0.0030"
"0.9200","0.0141","-0.0028"
"0.9400","0.0144","-0.0022"
"0.9600","0.0148","-0.0025"
"0.9800","0.0151","-0.0028"
"1.0000","0.0155","-0.0030"
"1.0200","0.0158","-0.0032"
"1.0400","0.0162","-0.0030"
"1.0600","0.0165","-0.0031"
"1.0800","0.0169","-0.0030"
"1.1000","0.0172","-0.0022"
"1.1200","0.0175","-0.0028"
"1.1400","0.0179","-0.0028"
"1.1600","0.0182","-0.0023"
"1.1800","0.0185","-0.0031"
"1.2000","0.0189","-0.0025"
"1.2200","0.0192","-0.0025"
"1.2400","0.0195","-0.0028"
"1.2600","0.0199","-0.0025"
"1.2800","0.0202","-0.0029"
"1.3000","0.0205","-0.0029"
"1.3200","0.0209","-0.0026"
"1.3400","0.0212","-0.0034"
"1.3600","0.0215","-0.0028"
"1.3800","0.0219","-0.0023"
"1.4000","0.0222","-0.0026"
"1.4200","0.0225","-0.0022"
"1.4400","0.0229","-0.0024"
"1.4600","0.0232","-0.0030"
"1.4800","0.0235","-0.0028"
"1.5000","0.0238","-0.0029"
"1.5200","0.0242","-0.0027"
"1.5400","0.0245","-0.0024"
"1.5600","0.0249","-0.0028"
"1.5800","0.0252","-0.0027"
"1.6000","0.0255","-0.0027"
"1.6200","0.0259","-0.0030"
"1.6400","0.0262","-0.0023"
"1.6600","0.0265","-0.0027"
"1.6800","0.0268","-0.0031"
"1.7000","0.0272","-0.0028"
"1.7200","0.0275","-0.0030"
"1.7400","0.0278","-0.0027"
"1.7600","0.0282","-0.0024"
"1.7800","0.0285","-0.0023"
"1.8000","0.0288","-0.0024"
"1.8200","0.0291","-0.0024"
"1.8400","0.0295","-0.0027"
"1.8600","0.0298","-0.0029"
"1.8800","0.0302","-0.0030"
"1.9000","0.0305","-0.0029"
"1.9200","0.0308","-0.0027"
"1.9400","0.0311","-0.0025"
"1.9600","0.0315","-0.0025"
"1.9800","0.0318","-0.0025"
"2.0000","0.0322","-0.0026"
"2.0200","0.0325","-0.0029"
"2.0400","0.0328","-0.0026"
"2.0600","0.0331","-0.0023"
"2.0800","0.0335","-0.0020"
"2.1000","0.0338","-0.0024"
"2.1200","0.0341","-0.0027"
"2.1400","0.0345","-0.0025"
"2.1600","0.0348","-0.0028"
"2.1800","0.0352","-0.0024"
"2.2000","0.0355","-0.0024"
"2.2200","0.0359","-0.0024"
"2.2400","0.0362","-0.0024"
"2.2600","0.0365","-0.0026"
"2.2800","0.0368","-0.0027"
"2.3000","0.0372","-0.0023"
"2.3200","0.0375","-0.0026"
"2.3400","0.0379","-0.0024"
"2.3600","0.0382","-0.0021"
"2.3800","0.0385","-0.0025"
"2.4000","0.0389","-0.0023"
"2.4200","0.0392","-0.0025"
"2.4400","0.0396","-0.0028"
"2.4600","0.0399","-0.0027"
"2.4800","0.0403","-0.0026"
"2.5000","0.0406","-0.0029"
"2.5200","0.0410","-0.0021"
"2.5400","0.0413","-0.0025"
"2.5600","0.0417","-0.0023"
"2.5800","0.0420","-0.0023"
"2.6000","0.0424","-0.0029"
"2.6200","0.0427","-0.0023"
"2.6400","0.0430","-0.0022"
"2.6600","0.0434","-0.0026"
"2.6800","0.0437","-0.0024"
"2.7000","0.0440","-0.0026"
"2.7200","0.0444","-0.0028"
"2.7400","0.0447","-0.0025"
"2.7600","0.0450","-0.0028"
"2.7800","0.0454","-0.0021"
"2.8000","0.0457","-0.0023"
"2.8200","0.0460","-0.0024"
"2.8400","0.0464","-0.0020"
"2.8600","0.0467","-0.0027"
"2.8800","0.0470","-0.0028"
"2.9000","0.0474","-0.0026"
"2.9200","0.0477","-0.0027"
"2.9400","0.0480","-0.0025"
"2.9600","0.0484","-0.0022"
"2.9800","0.0487","-0.0022"
"3.0000","0.0490","-0.0023"
"3.0200","0.0493","-0.0021"
"3.0400","0.0496","-0.0026"
"3.0600","0.0500","-0.0026"
"3.0800","0.0503","-0.0020"
"3.1000","0.0506","-0.0025"
"3.1200","0.0509","-0.0021"
"3.1400","0.0512","-0.0021"
"3.1600","0.0515","-0.0031"
"3.1800","0.0519","-0.0020"
"3.2000","0.0522","-0.0021"
"3.2200","0.0525","-0.0024"
"3.2400","0.0528","-0.0019"
"3.2600","0.0532","-0.0025"
"3.2800","0.0535","-0.0025"
"3.3000","0.0538","-0.0020"
"3.3200","0.0542","-0.0027"
"3.3400","0.0545","-0.0024"
"3.3600","0.0548","-0.0023"
"3.3800","0.0552","-0.0029"
"3.4000","0.0555","-0.0021"
"3.4200","0.0558","-0.0020"
"3.4400","0.0561","-0.0025"
"3.4600","0.0565","-0.0023"
"3.4800","0.0568","-0.0023"
"3.5000","0.0571","-0.0023"
"3.5200","0.0574","-0.0022"
"3.5400","0.0578","-0.0020"
"3.5600","0.0581","-0.0020"
"3.5800","0.0584","-0.0021"
"3.6000","0.0588","-0.0023"
"3.6200","0.0591","-0.0026"
"3.6400","0.0594","-0.0028"
"3.6600","0.0598","-0.0022"
"3.6800","0.0601","-0.0028"
"3.7000","0.0605","-0.0023"
"3.7200","0.0608","-0.0019"
"3.7400","0.0611","-0.0028"
"3.7600","0.0615","-0.0021"
"3.7800","0.0618","-0.0025"
"3.8000","0.0622","-0.0024"
"3.8200","0.0625","-0.0017"
"3.8400","0.0628","-0.0024"
"3.8600","0.0632","-0.0022"
"3.8800","0.0635","-0.0017"
"3.9000","0.0638","-0.0030"
"3.9200","0.0642","-0.0022"
"3.9400","0.0645","-0.0023"
"3.9600","0.0648","-0.0029"
"3.9800","0.0652","-0.0018"
"4.0000","0.0655","-0.0026"
"4.0200","0.0658","-0.0024"
"4.0400","0.0662","-0.0018"
"4.0600","0.0665","-0.0024"
"4.0800","0.0669","-0.0023"
