Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0108"
"0.0200","0.0000","-0.0109"
"0.0400","0.0000","-0.0108"
"0.0600","0.0000","-0.0113"
"0.0800","0.0000","-0.0109"
"0.1000","0.0000","-0.0096"
"0.1200","0.0000","-0.0107"
"0.1400","0.0001","-0.0071"
"0.1600","0.0009","-0.0063"
"0.1800","0.0014","-0.0079"
"0.2000","0.0015","-0.0102"
"0.2200","0.0015","-0.0101"
"0.2400","0.0014","-0.0132"
"0.2600","0.0014","-0.0133"
"0.2800","0.0014","-0.0113"
"0.3000","0.0014","-0.0116"
"0.3200","0.0014","-0.0105"
"0.3400","0.0014","-0.0087"
"0.3600","0.0014","-0.0100"
"0.3800","0.0014","-0.0108"
"0.4000","0.0013","-0.0105"
"0.4200","0.0013","-0.0116"
"0.4400","0.0013","-0.0120"
"0.4600","0.0013","-0.0103"
"0.4800","0.0014","-0.0103"
"0.5000","0.0014","-0.0103"
"0.5200","0.0014","-0.0095"
"0.5400","0.0013","-0.0115"
"0.5600","0.0014","-0.0125"
"0.5800","0.0014","-0.0104"
"0.6000","0.0014","-0.0109"
"0.6200","0.0014","-0.0096"
"0.6400","0.0014","-0.0084"
"0.6600","0.0014","-0.0120"
"0.6800","0.0014","-0.0112"
"0.7000","0.0015","-0.0110"
"0.7200","0.0015","-0.0143"
"0.7400","0.0015","-0.0098"
"0.7600","0.0016","-0.0097"
"0.7800","0.0016","-0.0112"
"0.8000","0.0016","-0.0083"
"0.8200","0.0017","-0.0104"
"0.8400","0.0017","-0.0114"
"0.8600","0.0018","-0.0103"
"0.8800","0.0019","-0.0123"
"0.9000","0.0020","-0.0109"
"0.9200","0.0021","-0.0098"
"0.9400","0.0022","-0.0114"
"0.9600","0.0023","-0.0098"
"0.9800","0.0024","-0.0099"
"1.0000","0.0025","-0.0114"
"1.0200","0.0026","-0.0104"
"1.0400","0.0027","-0.0105"
"1.0600","0.0028","-0.0112"
"1.0800","0.0029","-0.0103"
"1.1000","0.0030","-0.0107"
"1.1200","0.0032","-0.0110"
"1.1400","0.0033","-0.0103"
"1.1600","0.0034","-0.0109"
"1.1800","0.0035","-0.0107"
"1.2000","0.0036","-0.0103"
"1.2200","0.0037","-0.0109"
"1.2400","0.0038","-0.0099"
"1.2600","0.0039","-0.0101"
"1.2800","0.0040","-0.0115"
"1.3000","0.0041","-0.0106"
"1.3200","0.0042","-0.0108"
"1.3400","0.0043","-0.0118"
"1.3600","0.0044","-0.0102"
"1.3800","0.0045","-0.0104"
"1.4000","0.0046","-0.0103"
"1.4200","0.0047","-0.0101"
"1.4400","0.0049","-0.0111"
"1.4600","0.0050","-0.0105"
"1.4800","0.0051","-0.0108"
"1.5000","0.0052","-0.0114"
"1.5200","0.0053","-0.0103"
"1.5400","0.0054","-0.0105"
"1.5600","0.0055","-0.0106"
"1.5800","0.0056","-0.0107"
"1.6000","0.0057","-0.0108"
"1.6200","0.0057","-0.0103"
"1.6400","0.0058","-0.0110"
"1.6600","0.0059","-0.0106"
"1.6800","0.0060","-0.0103"
"1.7000","0.0061","-0.0108"
"1.7200","0.0062","-0.0104"
"1.7400","0.0063","-0.0108"
"1.7600","0.0064","-0.0109"
"1.7800","0.0065","-0.0105"
"1.8000","0.0066","-0.0103"
"1.8200","0.0067","-0.0100"
"1.8400","0.0068","-0.0109"
"1.8600","0.0069","-0.0108"
"1.8800","0.0069","-0.0104"
"1.9000","0.0070","-0.0114"
"1.9200","0.0071","-0.0115"
"1.9400","0.0072","-0.0106"
"1.9600","0.0073","-0.0113"
"1.9800","0.0074","-0.0102"
"2.0000","0.0075","-0.0099"
"2.0200","0.0076","-0.0106"
"2.0400","0.0077","-0.0106"
"2.0600","0.0077","-0.0113"
"2.0800","0.0078","-0.0110"
"2.1000","0.0079","-0.0100"
"2.1200","0.0080","-0.0107"
"2.1400","0.0081","-0.0105"
"2.1600","0.0082","-0.0100"
"2.1800","0.0083","-0.0111"
"2.2000","0.0084","-0.0106"
"2.2200","0.0085","-0.0099"
"2.2400","0.0085","-0.0112"
"2.2600","0.0086","-0.0111"
"2.2800","0.0087","-0.0104"
"2.3000","0.0088","-0.0105"
"2.3200","0.0089","-0.0098"
"2.3400","0.0090","-0.0101"
"2.3600","0.0091","-0.0110"
"2.3800","0.0092","-0.0110"
"2.4000","0.0092","-0.0115"
"2.4200","0.0093","-0.0108"
"2.4400","0.0094","-0.0103"
"2.4600","0.0095","-0.0103"
"2.4800","0.0096","-0.0098"
"2.5000","0.0096","-0.0099"
"2.5200","0.0097","-0.0104"
"2.5400","0.0098","-0.0103"
"2.5600","0.0099","-0.0104"
"2.5800","0.0100","-0.0114"
"2.6000","0.0101","-0.0111"
"2.6200","0.0101","-0.0103"
"2.6400","0.0102","-0.0106"
"2.6600","0.0103","-0.0099"
"2.6800","0.0104","-0.0099"
"2.7000","0.0105","-0.0107"
"2.7200","0.0106","-0.0108"
"2.7400","0.0107","-0.0112"
"2.7600","0.0108","-0.0106"
"2.7800","0.0109","-0.0103"
"2.8000","0.0110","-0.0110"
"2.8200","0.0110","-0.0102"
"2.8400","0.0111","-0.0102"
"2.8600","0.0112","-0.0106"
"2.8800","0.0113","-0.0103"
"2.9000","0.0114","-0.0108"
"2.9200","0.0115","-0.0113"
"2.9400","0.0116","-0.0113"
"2.9600","0.0116","-0.0110"
"2.9800","0.0117","-0.0106"
"3.0000","0.0118","-0.0101"
"3.0200","0.0119","-0.0097"
"3.0400","0.0120","-0.0097"
"3.0600","0.0121","-0.0102"
"3.0800","0.0121","-0.0107"
"3.1000","0.0122","-0.0115"
"3.1200","0.0123","-0.0114"
"3.1400","0.0124","-0.0116"
"3.1600","0.0125","-0.0108"
"3.1800","0.0126","-0.0098"
"3.2000","0.0126","-0.0096"
"3.2200","0.0127","-0.0098"
"3.2400","0.0128","-0.0099"
"3.2600","0.0129","-0.0108"
"3.2800","0.0130","-0.0114"
"3.3000","0.0131","-0.0111"
"3.3200","0.0131","-0.0115"
"3.3400","0.0132","-0.0110"
"3.3600","0.0133","-0.0105"
"3.3800","0.0134","-0.0101"
"3.4000","0.0135","-0.0093"
"3.4200","0.0136","-0.0097"
"3.4400","0.0136","-0.0101"
"3.4600","0.0137","-0.0104"
"3.4800","0.0138","-0.0116"
"3.5000","0.0139","-0.0115"
"3.5200","0.0140","-0.0107"
"3.5400","0.0141","-0.0108"
"3.5600","0.0141","-0.0099"
"3.5800","0.0142","-0.0091"
"3.6000","0.0143","-0.0099"
"3.6200","0.0144","-0.0104"
"3.6400","0.0145","-0.0112"
