Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0098"
"0.0200","0.0000","-0.0100"
"0.0400","0.0000","-0.0091"
"0.0600","0.0001","-0.0053"
"0.0800","0.0009","-0.0067"
"0.1000","0.0014","-0.0065"
"0.1200","0.0016","-0.0083"
"0.1400","0.0016","-0.0106"
"0.1600","0.0016","-0.0110"
"0.1800","0.0016","-0.0113"
"0.2000","0.0016","-0.0119"
"0.2200","0.0016","-0.0107"
"0.2400","0.0017","-0.0094"
"0.2600","0.0018","-0.0089"
"0.2800","0.0019","-0.0090"
"0.3000","0.0021","-0.0092"
"0.3200","0.0023","-0.0097"
"0.3400","0.0026","-0.0098"
"0.3600","0.0028","-0.0104"
"0.3800","0.0031","-0.0096"
"0.4000","0.0034","-0.0092"
"0.4200","0.0037","-0.0098"
"0.4400","0.0040","-0.0096"
"0.4600","0.0044","-0.0091"
"0.4800","0.0048","-0.0099"
"0.5000","0.0052","-0.0100"
"0.5200","0.0056","-0.0094"
"0.5400","0.0060","-0.0097"
"0.5600","0.0064","-0.0097"
"0.5800","0.0069","-0.0093"
"0.6000","0.0073","-0.0093"
"0.6200","0.0078","-0.0099"
"0.6400","0.0082","-0.0098"
"0.6600","0.0087","-0.0096"
"0.6800","0.0092","-0.0096"
"0.7000","0.0096","-0.0097"
"0.7200","0.0100","-0.0096"
"0.7400","0.0104","-0.0091"
"0.7600","0.0109","-0.0098"
"0.7800","0.0113","-0.0103"
"0.8000","0.0117","-0.0097"
"0.8200","0.0121","-0.0094"
"0.8400","0.0125","-0.0101"
"0.8600","0.0129","-0.0094"
"0.8800","0.0133","-0.0095"
"0.9000","0.0137","-0.0097"
"0.9200","0.0140","-0.0095"
"0.9400","0.0144","-0.0096"
"0.9600","0.0147","-0.0097"
"0.9800","0.0151","-0.0094"
"1.0000","0.0154","-0.0092"
"1.0200","0.0157","-0.0091"
"1.0400","0.0161","-0.0091"
"1.0600","0.0164","-0.0099"
"1.0800","0.0168","-0.0095"
"1.1000","0.0171","-0.0099"
"1.1200","0.0174","-0.0099"
"1.1400","0.0178","-0.0094"
"1.1600","0.0181","-0.0091"
"1.1800","0.0185","-0.0096"
"1.2000","0.0188","-0.0097"
"1.2200","0.0191","-0.0098"
"1.2400","0.0195","-0.0098"
"1.2600","0.0198","-0.0090"
"1.2800","0.0201","-0.0093"
"1.3000","0.0205","-0.0092"
"1.3200","0.0208","-0.0095"
"1.3400","0.0211","-0.0098"
"1.3600","0.0215","-0.0097"
"1.3800","0.0218","-0.0094"
"1.4000","0.0221","-0.0101"
"1.4200","0.0225","-0.0091"
"1.4400","0.0228","-0.0094"
"1.4600","0.0231","-0.0094"
"1.4800","0.0235","-0.0088"
"1.5000","0.0238","-0.0091"
"1.5200","0.0241","-0.0097"
"1.5400","0.0244","-0.0096"
"1.5600","0.0248","-0.0097"
"1.5800","0.0251","-0.0098"
"1.6000","0.0254","-0.0094"
"1.6200","0.0258","-0.0094"
"1.6400","0.0261","-0.0095"
"1.6600","0.0264","-0.0095"
"1.6800","0.0268","-0.0094"
"1.7000","0.0271","-0.0098"
"1.7200","0.0274","-0.0094"
"1.7400","0.0278","-0.0096"
"1.7600","0.0281","-0.0096"
"1.7800","0.0284","-0.0091"
"1.8000","0.0288","-0.0098"
"1.8200","0.0291","-0.0093"
"1.8400","0.0294","-0.0089"
"1.8600","0.0298","-0.0093"
"1.8800","0.0301","-0.0091"
"1.9000","0.0304","-0.0092"
"1.9200","0.0308","-0.0096"
"1.9400","0.0311","-0.0093"
"1.9600","0.0314","-0.0098"
"1.9800","0.0318","-0.0093"
"2.0000","0.0321","-0.0090"
